标题,作者,出版社,出版时间,评分,纸质版定价
教育技术与人工智能,贾积有,吉林大学出版社,1970-1,暂无评分,22.00元
或然世界 : 谁是人工智能画家小冰？,小冰 著,中信出版社,2020-8-20,6.3,78
人工智能治理研究,杨晓雷,杨晓雷,北京大学出版社,暂无评分,2022
传播的进化 : 人工智能将如何重塑人类的交流,牟怡,清华大学出版社,2017-5,6.6,49.00元
商业狂潮：人工智能的未来,刘赞 林仁翔 张凤,机械工业出版社,2017-7,暂无评分,49元
人工智能 : 刑法的时代挑战,刘宪权,上海人民出版社,2018-7,暂无评分,CNY 68.00
大数据、人工智能与妇女工作权,陆海娜,陆海娜,知识产权出版社,暂无评分,88.00元
教育的未来：人工智能时代的教育变革,[美] 约瑟夫 · E.奥恩,机械工业出版社,2018-12-1,6.9,49.00
人工智能治理与区块链革命,高奇琦,高奇琦,上海人民出版社,暂无评分,85.00
第四次教育革命 : 人工智能如何改变教育,[英] 安东尼·塞尔登,机械工业出版社,2019-9,7.9,65.00元
人工智能：智能驾驶,张新钰,电子工业出版社,2020-12,暂无评分,78.00
人工智能原理及其应用,王万森,电子工业出版社,2007-1,暂无评分,26.00元
企业人工智能战略,无日经BP社信息技术媒体部,机械工业出版社,2018-1,暂无评分,35.00
第四次浪潮 : 人工智能时代的国家、公司与个人,[日]大前研一,浙江教育出版社,2025-2,暂无评分,58.00元
人工智能与知识工程,中国铁道出版社,中国铁道出版社,1999-01,暂无评分,29.40
心智、语言和机器 : 维特根斯坦哲学和人工智能科学的对话,徐英瑾,人民出版社,2013-10-1,8.2,CNY 65.00
模型思维：简化世界的人工智能模型,龚才春,电子工业出版社,2021-6,7.5,158
人工智能 : 原理与实践,[美] 查鲁·C.阿加沃尔（Charu C.Aggarwal）,机械工业出版社,2023-1,暂无评分,149.00
代码经济 : 从远古食谱、城市到区块链、人工智能,[美]菲利普·奥尔斯瓦尔德（Philip Auerswald）,上海社会科学院出版社,2019-3,7.7,60.00元
人工智能导论（第4版）,王万良,高等教育出版社,2017-7,暂无评分,30.70元
人工智能通识,王轩,机械工业出版社,2020-10,暂无评分,54
人工智能中的图表推理,中津,机械工业出版社,2012-1,暂无评分,88.00元
人工智能及其应用(第二版),蔡自兴,清华大学出版社,1996-05,暂无评分,32.50
人工智能与机器翻译,杨宪泽,西南交通大学出版社,2006-2,暂无评分,36.0
嵌入式人工智能,李斌,未知,李斌,暂无评分,清华大学出版社
人工智能的另一面,2020-8,未知,未知,暂无评分,2020-8
人工智能十万个为什么：热AI,电子工业出版社,未知,未知,6.0,电子工业出版社
人与机器--思想人工智能,顾骏,上海大学出版社,2018-8,暂无评分,38
TensorFlow+Keras深度学习人工智能实践应用,林大贵,林大贵,清华大学出版社,7.0,2018-1-1
人工智能城市,,未知,未知,暂无评分,
人工智能概论,中国铁道出版社,未知,未知,暂无评分,中国铁道出版社
广义人工智能,国防工业出版社,国防工业出版社,2012-8,暂无评分,49.80元
人工智能(DVD),中国录音录像出版总社,未知,中国录音录像出版总社,暂无评分,26.0
人工智能的未来之路,李广宇等,上海交通大学出版社,2017-10-2,暂无评分,48
人生新算法 : 用人工智能解读时间、幸运与财富,[日] 矢野和男,江西人民出版社,2018-8,6.7,42.00元
人工智能 : CAD汉字谐和技术CQF软件包揭密,陈启发,中国电力出版社,2004-1,暂无评分,29.00元
Python入门到人工智能实战,吴茂贵 等,北京大学出版社,2020-4,暂无评分,79元
人工智能：知识图谱前沿技术,电子工业出版社,未知,未知,暂无评分,电子工业出版社
通用人工智能 : 初心与未来,[美]赫伯特·L.罗埃布莱特,郭斌,机械工业出版社,暂无评分,2023-3
智周万物 : 人工智能改变中国,杨静,人民邮电出版社,2019-9-1,6.2,69.00元
大数据战争 : 人工智能时代不能不说的事,何渊,北京大学出版社,2019-6,7.2,39
人工智能的应用,[英] C. J. 哈里斯 编,译林出版社,1992-2,暂无评分,10.00元
人工智能法学导论,王利军,王利军,李大庆,暂无评分,法律出版社
人工智能通识教程,王万良,清华大学出版社,2020-9-1,暂无评分,49.8元
人工智能伦理导引 : Ethical Guidance of Artificial Intelligence,陈小平,中国科学技术大学出版社,2021-2,暂无评分,48.00元
人工智能与精益制造,【美】迈克尔•乔治（Michael L. George Sr.）,中国人民大学出版社,2020-11,暂无评分,79.00
30秒探索人工智能和机器人,[英]路易斯•德•米兰达（Luis de Miranda）,舒丽苹,2021-2,暂无评分,49
智能革命 : 迎接人工智能时代的社会、经济与文化变革,李彦宏 等,中信出版社,2017-5-1,6.6,68.00元
时尚业中的人工智能：人工智能如何彻底改变时尚业,]利安娜·卢斯（Leanne Luce）著；熊兴译,]利安娜·卢斯（Leanne Luce）著；熊兴译,经济管理出版社,暂无评分,51.00元
人工智能 : 小学版,任友群,上海教育出版社,2019-8,暂无评分,45.00元
人工智能与机器人研究,150元,未知,未知,暂无评分,150元
证据理论与决策、人工智能,段新生,中国人民大学出版社,1993年3月,暂无评分,4.30
手把手构建人工智能产品 : 产品经理的AI实操手册,高飞,电子工业出版社,2020-4-1,7.5,59
情感人工智能 : 共情媒体的崛起,安德鲁·麦克斯泰,安德鲁·麦克斯泰,吕欣,暂无评分,中国传媒大学出版社
人工智能与专家系统,尹朝庆,中国水利水电出版社,2002-1,暂无评分,30.00元
人工智能应用导论,,未知,未知,暂无评分,
漫画学人工智能（Python版）,肖凯,肖凯,电子工业出版社,暂无评分,2024-2
人工智能与法律的对话 2,2020-8-1,未知,未知,暂无评分,2020-8-1
人工智能技术及应用,姚锡凡,中国电力出版社,2007-12,暂无评分,30.00元
证券投资人工智能 : 人工智能时代的财富管理变革,张家林,张家林,中国经济出版社,暂无评分,2017-1-1
人工智能+：AI与IA如何重塑未来,[美]韩德尔·琼斯（Handel Jones） [中]张臣雄,机械工业出版社,2018-10,暂无评分,55.00
机器能取代法官吗？：人工智能、数据科学与法律,刘庄,北京大学出版社,2024-12,暂无评分,59
数字帝国 : 人工智能时代的九大未来图景,[比] 蒂埃里·格尔茨,文汇出版社,2020-12,7.2,58.00元
人工智能的冲击 : 失去工作，还是不用工作？,[日] 小林雅一,人民邮电出版社,2018-7,8.2,49
边界 : 人工智能的过去、现在与未来,商汤科技 主编,电子工业出版社,2022-8,6.7,88.00元
人工智能会毁灭人类吗？,[日] 儿玉哲彦,鹭江出版社,2019-4,暂无评分,42.00
你好啊，人工智能 : 你的第一本前沿科技启蒙书,[日]Infovisual研究所,书海出版社,2023-8,7.3,59元
产品经理的AI实战——人工智能产品和商业落地,车马,电子工业出版社,2020-5,7.5,59
空间计算 : 人工智能驱动的新商业革命,[美]凯西·哈克尔,中信出版集团,2024-6-28,5.1,69元
产品经理进阶：100个案例搞懂人工智能,林中翘 著,电子工业出版社,2019-8,7.4,79.00元
块数据4.0：人工智能时代的激活数据学 : 人工智能时代的激活数据学,大数据战略重点实验室,中信出版社,2018-5-1,暂无评分,CNY 59.00
蒙特卡罗方法与人工智能,（美）Adrian Barbu（巴布·艾俊）,（美）Adrian Barbu（巴布·艾俊）,Song-Chun Zhu（朱松纯）,暂无评分,电子工业出版社
AI向善 : 以人为中心的人工智能,[美]本·施耐德曼(Ben Shneiderman),中国科学技术出版社,2024-5,暂无评分,89.00元
人工智能技术导论,廉师友,西安电子科技大学出版社,2002-7,暂无评分,18.00元
临界：人工智能时代的全球法变迁,余盛峰,未知,余盛峰,暂无评分,清华大学出版社
世界的下一个主宰：人工智能,[哈]卡里姆·马西莫夫,清华大学出版社,2020-8,暂无评分,59.00
人工智能程序设计LISP和Prolog,金志权,南京大学出版社,1986-7,暂无评分,6.05
Python元学习 通用人工智能的实现,[印] 苏达桑•拉维尚迪兰,人民邮电出版社,2020-7-1,暂无评分,59
终极复制 : 人工智能将如何推动社会巨变,李智勇,机械工业出版社,2016-8-11,7.9,49.00
人工智能技术入门,杨正洪,清华大学出版社,2020-11,暂无评分,89.00元
人工智能的进化 : 计算机思维离人类心智还有多远,[加] 赫克托·莱韦斯克,中信出版社,2018-4,7.5,49
人工智能的基础哲学问题探秘,赵泽林,世界图书出版公司,2012-4,暂无评分,39.00元
人工智能伦理与治理：未来视角,未来论坛,人民邮电出版社,2023-1,暂无评分,99.00
人工智能社会,高崇,高崇,北京邮电大学出版社,暂无评分,2020-8
人工智能与法律的对话3,弥永真生【日】,上海人民出版社,2021-8,暂无评分,78.00元
人工智能领导干部读本 人工智能的社会变革 战略方位 未来发展,任仲文,人民日报出版社,2017-9,6.9,28.0
人工智能艺术与设计,,未知,未知,暂无评分,
人工智能与药物设计,李洪林,郑明月,朱峰,暂无评分,2023-6-1
AI联结的社会 : 人工智能网络化时代的伦理与法律,[日]福田雅树,社会科学文献出版社,2020-2,7.0,79.00
人工智能与国际准则,李仁涵 编著,上海三联书店,2022-9,暂无评分,68元
我看见了风暴：人工智能基建革命,谭婧,电子工业出版社,2023-5,暂无评分,99.00元
人工智能伦理案例集,杜严勇 主编,上海人民出版社,2024-7,暂无评分,88.00
AI for Science：人工智能驱动科学创新,杜雨,电子工业出版社,2024-7,暂无评分,79.00
秒懂AI提问：让人工智能成为你的效率神器,秋叶,人民邮电出版社,2023-7,6.5,59.80元
人工智能超入门丛书--情感分析：人工智能如何洞察心理,,未知,未知,暂无评分,
小学生学人工智能,人民邮电出版社,未知,未知,暂无评分,人民邮电出版社
无人驾驶 : 人工智能将从颠覆驾驶开始，全面重构人类生活,[美] 胡迪·利普森,文汇出版社,2017-6-15,7.7,58
AI改变设计——人工智能时代的设计师生存手册,薛志荣,薛志荣,清华大学出版社,7.0,69元
人工智能大冒险 : 青少年的AI启蒙书,智AI兄弟,人民邮电出版社,2018-12,暂无评分,69. 00元
人工智能会取代人类吗？ : 智能时代的人类未来,[澳]托比·沃尔什,北京联合出版公司,2018-6,7.9,59.80元
人工智能及其演化,刘海滨,未知,刘海滨,暂无评分,科学出版社
Python程序设计 : 人工智能案例实践,[美] 保罗·戴特尔,机械工业出版社,2021-5-5,暂无评分,149.00元
人工智能之路,清华大学出版社,未知,未知,暂无评分,清华大学出版社
人工智能入门(第一册),陈玉琨 主编,商务印书馆,2019-5,暂无评分,16.50元
人·人类·人工智能,吴季松,吴季松,电子工业出版社,暂无评分,36.70元
科学化思维 人工智能时代的生存指南,【美】查德•奥泽尔,湖南科学技术出版社,2018-10,暂无评分,39
光速思考 : 新一代光计算机与人工智能,诺尔蒂,辽宁教育出版社,2003-7,7.8,19.00元
数字化 : 引领人工智能时代的商业革命,冯国华,伍斌,清华大学出版社,6.6,2019-1-1
人工智能极简编程入门（基于Python）,张光华,机械工业出版社,2019-5-1,5.4,69.00元
人工智能与大数据技术导论,杨正洪,刘玮,清华大学出版社,暂无评分,98元
走进人工智能 (第二版),吴飞,吴飞,高等教育出版社,暂无评分,2024-9
人工智能与专家系统导论,马鸣远,清华大学出版社,2006-11,暂无评分,28.00元
从零开始学人工智能,清华大学出版社,未知,未知,暂无评分,清华大学出版社
人工智能基础 : 第四册,汤晓鸥,华东师范大学出版社,2023-3,暂无评分,59.00元
超级科学家：人工智能,[意]费德里克·塔蒂亚,[意]费德里克·塔蒂亚,芭芭拉·马佐莱,暂无评分,浙江文艺出版社
未来人工智能,7.50元,未知,未知,暂无评分,7.50元
人工智能缔造师——构建人工智能的大师们所揭示的真相,,未知,未知,暂无评分,
解惑人工智能,丁圣勇 樊勇兵,丁圣勇 樊勇兵,人民邮电出版社,暂无评分,45元
意志与责任：法律人工智能,顾骏,上海大学出版社,2020-5,暂无评分,48.00元
人工智能时代翻译技术研究,王华树,知识产权出版社,2020-4-13,暂无评分,88.00元
算法：人工智能在想什么,国家行政学院出版社,未知,未知,暂无评分,国家行政学院出版社
IBM商业价值报告 : 认知计算与人工智能,IBM商业价值研究院,东方出版社,2016-8-1,4.6,CNY 68.00
人工智能知识讲座,谭营 著,谭营 著,人民出版社,暂无评分,38元
人工智能通识讲义,,未知,未知,暂无评分,
人工智能教育（第一册）走近人工智能,,未知,未知,暂无评分,
人工智能基础 : 第三册,汤晓鸥,华东师范大学出版社,2023-3,暂无评分,59.00元
人工智能时代，你的工作还好吗？,"渠成,陈伟","渠成,陈伟",电子工业出版社,暂无评分,78
人工智能简明知识读本,新华出版社,未知,未知,暂无评分,新华出版社
人类智慧与人工智能,林尧瑞，郭木河编著,清华大学出版社,2001-3,暂无评分,10.00元
人工智能形式概念系统,危辉,科学,2011-4,暂无评分,38.00元
智能药物研发 : 新药研发中的人工智能,宋弢，曾湘祥，王爽，王建民,清华大学出版社,2022-11,9.3,99
AI成“神”之日 : 人工智能的终极演变,松本徹三,清华大学出版社,2019-7-1,6.5,49.00
AI图景 : Sora时代的人工智能应用,[美]阿莉莎·辛普森·罗赫韦格(Alyssa Simpson Rochwerger),中国科学技术出版社,2024-7,暂无评分,68.00元
人工智能：重塑秩序的力量,杨学军,杨学军,吴朝晖 等,暂无评分,科学出版社
工作的未来：人工智能与就业替代,,未知,未知,暂无评分,
人工智能技术与方法,夏定纯,华中科技大学出版社,2004-9,暂无评分,23.80元
人工智能之书 : 从中世纪的机器人到神经网络,[美] 克利福德·皮寇弗 著,重庆大学出版社,2023-5-1,7.6,78.00元
暗池 : 高频交易及人工智能大盗颠覆金融世界的对决,[美]斯科特·帕特森,机械工业出版社,2015-9-21,7.1,CNY 59.00
人工智能技术简明教程,廉师友,人民邮电出版社,2011-4,暂无评分,25.00元
深入浅出人工智能(第2版),[德]沃尔夫冈·埃特尔（Wolfgang Ertel）,清华大学出版社,2020-1,暂无评分,59.8
媒介的欺骗性 : 后图灵时代的人工智能和社会生活,(意) 西蒙尼·纳塔莱 (Simone Natale),汪让,复旦大学出版社,8.0,2023-9
人工智能商业应用手册,乔尔·G·西格尔,中国人民大学出版社,2004-3,暂无评分,18.00元
中国人工智能进展.2005,中国人工智能学会,北京邮电大学出版社,2005-1,暂无评分,380.00元
